source,target,action,action description,chapter,page
1,2,1,descent,1.0,
2,3,1,descent,1.0,
3,4,1,descent,1.0,
4,5,1,descent,1.0,
5,6,1,descent,1.0,
7,9,9,offer assistance,2.0,
8,7,2,marriage,1.0,
9,7,1,descent,1.0,
9,7,8,request assistance,2.0,
9,8,1,descent,1.0,
9,9,24,death_neutral,16.0,462.0
9,13,5,inheritance,16.0,
9,14,5,inheritance,16.0,
9,15,9,offer assistance,2.0,
9,18,7,placed in command,11.0,453.0
9,18,20,challenge,15.0,460.0
9,18,23,conversation_neutral,13.0,456.0
9,19,21,hostility_non-lethal,14.0,459.0
9,19,22,hostility_lethal,14.0,459.0
9,22,10,provide information,5.0,442.0
9,22,28,ownership,3.0,
9,23,19,intervention,6.0,443.0
9,24,24,death_neutral,5.0,
9,24,22,hostility_lethal,5.0,
9,24,22,hostility_lethal,5.0,442.0
9,24,14,accusation,5.0,
9,26,8,request assistance,5.0,
9,26,8,request assistance,5.0,442.0
9,29,8,request assistance,11.0,452.0
9,37,15,summons,14.0,457.0
9,38,15,summons,14.0,457.0
9,41,15,summons,14.0,457.0
9,42,15,summons,14.0,457.0
10,7,9,offer assistance,1.0,
10,7,24,death_neutral,1.0,
11,7,10,provide information,1.0,
12,9,2,marriage,2.0,
13,9,1,descent,2.0,
13,12,1,descent,2.0,
14,9,1,descent,2.0,
14,12,1,descent,2.0,
17,16,2,marriage,3.0,
18,9,23,conversation_neutral,13.0,456.0
18,9,21,hostility_non-lethal,10.0,450.0
18,9,21,hostility_non-lethal,11.0,453.0
18,9,21,hostility_non-lethal,14.0,459.0
18,9,14,accusation,7.0,
18,9,14,accusation,10.0,450.0
18,9,15,summons,7.0,
18,9,17,insult,11.0,453.0
18,16,1,descent,3.0,
18,17,1,descent,3.0,
18,19,12,invitation,14.0,456.0
18,19,13,giftgiving,14.0,460.0
18,21,8,request assistance,8.0,
18,23,7,placed in command,6.0,444.0
18,23,13,giftgiving,12.0,455.0
18,29,13,giftgiving,12.0,455.0
18,29,13,giftgiving,16.0,
18,31,8,request assistance,16.0,461.0
18,31,10,provide information,10.0,452.0
18,31,10,provide information,10.0,452.0
18,31,13,giftgiving,12.0,455.0
18,31,13,giftgiving,16.0,
19,16,1,descent,3.0,
19,17,1,descent,3.0,
19,21,13,giftgiving,3.0,
19,35,9,offer assistance,14.0,456.0
20,18,2,marriage,3.0,
23,9,20,challenge,6.0,443.0
23,18,8,request assistance,6.0,444.0
23,24,9,offer assistance,4.0,440.0
23,24,10,provide information,4.0,
23,31,21,hostility_non-lethal,9.0,
24,9,9,offer assistance,4.0,
24,9,8,request assistance,4.0,440.0
24,9,10,provide information,4.0,
24,22,8,request assistance,5.0,
24,23,1,descent,4.0,
24,25,8,request assistance,5.0,
24,25,8,request assistance,5.0,441.0
26,9,11,discover information,5.0,
29,9,21,hostility_non-lethal,11.0,452.0
29,9,18,threat,11.0,452.0
29,15,10,provide information,8.0,
29,18,10,provide information,9.0,
29,18,10,provide information,11.0,454.0
29,18,10,provide information,12.0,454.0
29,18,13,giftgiving,16.0,
29,21,15,summons,12.0,454.0
29,30,1,descent,8.0,
29,31,19,intervention,9.0,
31,9,21,hostility_non-lethal,11.0,453.0
31,9,17,insult,11.0,453.0
31,18,8,request assistance,10.0,452.0
31,18,10,provide information,10.0,451.0
31,18,10,provide information,11.0,453.0
31,18,10,provide information,12.0,454.0
31,18,10,provide information,16.0,
31,18,13,giftgiving,16.0,
31,21,22,hostility_lethal,12.0,455.0
31,21,15,summons,12.0,454.0
31,29,9,offer assistance,9.0,
31,30,1,descent,8.0,
32,30,1,descent,8.0,
32,33,2,marriage,8.0,
33,34,1,descent,8.0,
35,18,8,request assistance,14.0,459.0
35,19,10,provide information,14.0,458.0
36,9,17,insult,14.0,457.0
