source,target,action,chapter,page
1,2,1,1,
2,3,1,1,
3,4,1,1,
4,5,1,1,
5,6,1,1,
7,9,9,2,
8,7,2,1,
9,7,1,1,
9,7,8,2,
9,8,1,1,
9,9,24,16,462.0
9,13,5,16,
9,14,5,16,
9,15,9,2,
9,18,7,11,453.0
9,18,20,15,460.0
9,18,23,13,456.0
9,19,21,14,459.0
9,19,22,14,459.0
9,22,10,5,442.0
9,22,28,3,
9,23,19,6,443.0
9,24,14,5,
9,24,22,5,
9,24,22,5,442.0
9,24,24,5,
9,26,8,5,
9,26,8,5,442.0
9,29,8,11,452.0
9,37,15,14,457.0
9,38,15,14,457.0
9,41,15,14,457.0
9,42,15,14,457.0
10,7,9,1,
10,7,24,1,
11,7,10,1,
12,9,2,2,
13,9,1,2,
13,12,1,2,
14,9,1,2,
14,12,1,2,
17,16,2,3,
18,9,14,7,
18,9,14,10,450.0
18,9,15,7,
18,9,17,11,453.0
18,9,21,10,450.0
18,9,21,11,453.0
18,9,21,14,459.0
18,9,23,13,456.0
18,16,1,3,
18,17,1,3,
18,19,12,14,456.0
18,19,13,14,460.0
18,21,8,8,
18,23,7,6,444.0
18,23,13,12,455.0
18,29,13,12,455.0
18,29,13,16,
18,31,8,16,461.0
18,31,10,10,452.0
18,31,10,10,452.0
18,31,13,12,455.0
18,31,13,16,
19,16,1,3,
19,17,1,3,
19,21,13,3,
19,35,9,14,456.0
20,18,2,3,
23,9,20,6,443.0
23,18,8,6,444.0
23,24,9,4,440.0
23,24,10,4,
23,31,21,9,
24,9,8,4,440.0
24,9,9,4,
24,9,10,4,
24,22,8,5,
24,23,1,4,
24,25,8,5,
24,25,8,5,441.0
26,9,11,5,
29,9,18,11,452.0
29,9,21,11,452.0
29,15,10,8,
29,18,10,9,
29,18,10,11,454.0
29,18,10,12,454.0
29,18,13,16,
29,21,15,12,454.0
29,30,1,8,
29,31,19,9,
31,9,17,11,453.0
31,9,21,11,453.0
31,18,8,10,452.0
31,18,10,10,451.0
31,18,10,11,453.0
31,18,10,12,454.0
31,18,10,16,
31,18,13,16,
31,21,15,12,454.0
31,21,22,12,455.0
31,29,9,9,
31,30,1,8,
32,30,1,8,
32,33,2,8,
33,34,1,8,
35,18,8,14,459.0
35,19,10,14,458.0
36,9,17,14,457.0
